67,HowtoBeSingle,WarnerBros(NewLine),46843513,3357,17878911,3343,2/12/16
68,MikeandDaveNeedWeddingDates,Fox,46009673,3008,16628170,2982,7/8/16
69,TheNightBefore,Sony,43047372,2960,9880536,2960,11/20/15
70,WarDogs,WarnerBros,43034523,3258,14685305,3258,8/19/16
71,Krampus,Universal,42725475,2919,16293325,2902,12/4/15
72,MoneyMonster,TriStar,41012075,3104,14788157,3104,5/13/16
73,Nerve,Lionsgate,38583626,2538,9445456,2538,7/27/16
74,Risen,Sony,36880033,2915,11801271,2915,2/19/16
75,TheNiceGuys,WarnerBros,36261763,2865,11203270,2865,5/20/16
76,TheBoy(2016),STXEntertainment,35819556,2671,10778392,2671,1/22/16
77,DirtyGrandpa,Lionsgate,35593113,2912,11111875,2912,1/22/16
78,The5thWave,Sony,34912982,2908,10326356,2908,1/22/16
79,Concussion(2015),Sony,34542474,2841,10513749,2841,12/25/15
80,MothersDay,OpenRoadFilms,32492859,3291,8369184,3035,4/29/16
81,Ouija:OriginofEvil,Universal,31969685,3168,14065500,3167,10/21/16
82,GodsofEgypt,Lionsgate/Summit,31153464,3117,14123903,3117,2/26/16
83,HailCaesar!,Universal,30080225,2248,11355225,2232,2/5/16
84,WhentheBoughBreaks,ScreenGems,29703843,2246,14202323,2246,9/9/16
85,Zoolander2,Paramount,28848693,3418,13841146,3394,2/12/16
86,PointBreak(2015),WarnerBros,28782481,2910,9800252,2910,12/25/15
87,TheFinestHours,BuenaVista,27569558,3143,10288932,3143,1/29/16
88,FlorenceFosterJenkins,Paramount,27383770,1528,6601313,1528,8/12/16
89,Inferno,Sony,27220094,3576,14860425,3576,10/28/16
90,HellorHighWater,Lionsgate,26882008,1505,621329,32,8/12/16
91,TheForest,Focus,26594261,2509,12741176,2451,1/8/16
92,Ben-Hur(2016),Paramount,26410477,3084,11203815,3084,8/19/16
93,LovetheCoopers,Lionsgate,26302731,2603,8317545,2603,11/13/15
94,TheWitch,A24,25138705,2204,8800230,2046,2/19/16
95,IntheHeartoftheSea,WarnerBros,25020758,3103,11053366,3103,12/11/15
96,BridgetJonessBaby,Universal,24139805,2930,8571785,2927,9/16/16
97,KevinHart:WhatNow?,Universal,23235070,2567,11767210,2567,10/14/16
98,WhiskeyTangoFoxtrot,Paramount,23083334,2413,7450275,2374,3/4/16
99,Snowden,OpenRoadFilms,21496925,2443,8000058,2443,9/16/16
100,Mechanic:Resurrection,Lionsgate/Summit,21218403,2258,7456525,2258,8/26/16
